UID,Name,Nat,Club,2nd Nat,Division,Best Pos,Age,Transfer Value,xG/90,xG-OP,FA,Off,xG/shot,Cr C/90,Conv %,NP0xG/90,Gls/90,xA/90,Ch C/90,K Ps/90,Pres A/90,Dist/90,Cr C/A,Drb/90,Sprints/90,Blk/90,Int/90,K Hdrs/90,K Tck/90,Poss Won/90,Poss Lost/90,Tck/90,Tck R,Hdr %,xSv %,Pens Saved Ratio,Pas %,Sv %,Cln/90,Pr passes/90,Gl Mst,xGP/90,All/90,Inf,Rec
28110488,Dwight McNeil,ENG,Everton,,English Premier Division,M (L),27,$61M - $90M,0.14,2.09,60.00,12.00,0.11,1.48,0.15,0.14,0.20,0.22,0.51,2.39,16.78,8.9mi,0.17,2.36,19.91,0.46,2.45,0.26,0.03,9.80,15.93,3.90,0.84,0.46,0.00,0.00,0.81,0.00,0.00,4.22,0.00,0.00,0.00,,0 0 0
2000146948,Tom Rothe,GER,Chelsea,,English Premier Division,D (L),22,$61M - $89M,0.07,-0.93,5.00,1.00,0.07,0.56,0.00,0.07,0.00,0.13,0.16,1.68,8.47,9.2mi,0.33,1.52,19.26,0.40,2.96,0.64,0.40,13.59,11.03,3.36,0.86,0.55,0.00,0.00,0.90,0.00,0.00,9.43,0.00,0.00,0.00,,0 0 0
14172522,Thiago Almada,ARG,SC Freiburg,ITA,Bundesliga,AM (C),26,$61M,0.26,4.53,24.00,7.00,0.11,0.27,0.18,0.23,0.41,0.14,0.21,2.12,10.69,8.7mi,0.23,1.78,14.04,0.27,1.61,0.00,0.00,11.55,13.43,1.44,0.66,0.17,0.00,0.00,0.85,0.00,0.00,2.26,0.00,0.00,0.00,,0 0 0
2000034344,Javi Guerra,ESP,Valencia,,Spanish First Division,M (C),23,$60M - $87M,0.05,1.67,26.00,0.00,0.09,0.07,0.20,0.05,0.10,0.18,0.21,1.08,9.57,8.1mi,0.18,0.94,12.02,0.28,1.82,0.21,0.07,14.05,4.30,1.71,0.71,0.57,0.00,0.00,0.89,0.00,0.00,6.01,0.00,0.00,0.00,,0 0 0
45104608,Takefusa Kubo,JPN,Real San Sebastián,,Spanish First Division,AM (C),25,$60M - $87M,0.43,-1.45,82.00,18.00,0.12,0.26,0.11,0.43,0.38,0.20,0.16,1.35,8.68,7.3mi,0.27,1.35,7.46,0.29,1.51,0.03,0.06,3.59,13.87,0.93,0.66,0.21,0.00,0.00,0.85,0.00,0.00,1.67,0.00,0.00,0.00,,0 0 0
18108540,Jonathan David,CAN,LOSC,USA,Ligue 1 Uber Eats,ST (C),27,$59M - $89M,0.36,0.85,68.00,32.00,0.13,0.36,0.13,0.36,0.39,0.07,0.21,0.92,9.39,7.5mi,0.24,2.35,9.18,0.18,1.52,0.18,0.00,3.34,13.44,1.49,0.71,0.37,0.00,0.00,0.85,0.00,0.00,1.55,0.00,0.00,0.00,,0 0 0
43424702,Edoardo Bove,ITA,AS Roma,,Italian Serie A,M (C),24,$59M - $87M,0.09,-0.60,35.00,3.00,0.09,0.14,0.08,0.09,0.07,0.06,0.29,0.93,10.03,8.1mi,0.20,1.38,13.17,0.43,1.85,0.00,0.02,13.33,10.01,2.21,0.80,0.28,0.00,0.00,0.88,0.00,0.00,3.71,0.00,0.00,0.00,,0 0 0
19371902,Danilo,BRA,Nottm Forest,,English Premier Division,M (C),26,$59M - $86M,0.08,-1.62,22.00,2.00,0.11,0.26,0.04,0.08,0.03,0.08,0.22,0.80,13.23,8.3mi,0.30,1.15,14.29,0.29,1.83,0.06,0.13,8.36,8.75,2.11,0.67,0.22,0.00,0.00,0.87,0.00,0.00,3.59,0.00,0.00,0.00,Wnt,0 0 0
49053187,Yassine Kechta,MAR,Havre AC,FRA,Ligue 1 Uber Eats,M (C),25,$58M - $72M,0.10,0.48,15.00,3.00,0.11,0.21,0.14,0.10,0.14,0.20,0.34,1.50,11.28,7.7mi,0.22,1.16,12.51,0.27,1.44,0.00,0.07,16.88,8.06,1.78,0.59,0.12,0.00,0.00,0.86,0.00,0.00,3.69,0.00,0.00,0.00,,0 0 0
29243820,Ronnie Edwards,ENG,West Ham,,English Premier Division,D (C),24,$57M - $86M,0.03,-0.32,7.00,3.00,0.09,0.06,0.07,0.03,0.02,0.03,0.06,0.24,2.69,7.2mi,0.30,0.14,4.36,0.46,1.85,0.44,0.36,10.69,3.82,1.33,0.75,0.61,0.00,0.00,0.95,0.00,0.00,4.36,0.00,0.00,0.00,,0 0 0
27148020,Mohamed Daramy,DEN,RB Leipzig,SLE,Bundesliga,AM (L),25,$57M - $85M,0.42,0.49,16.00,3.00,0.12,0.23,0.13,0.42,0.46,0.03,0.00,1.47,12.96,7.7mi,0.10,3.24,14.73,0.31,2.01,0.00,0.00,3.08,19.51,2.24,0.83,0.27,0.00,0.00,0.85,0.00,0.00,2.78,0.00,0.00,0.00,,0 0 0
43270713,Riccardo Sottil,ITA,Fiorentina,,Italian Serie A,AM (L),27,$57M - $68M,0.29,-0.15,18.00,8.00,0.14,0.48,0.14,0.29,0.28,0.11,0.16,1.28,12.73,7.9mi,0.16,3.60,15.61,0.32,2.08,0.04,0.00,4.80,15.85,2.56,0.78,0.44,0.00,0.00,0.81,0.00,0.00,2.12,0.00,0.00,0.00,Wnt,0 0 0
28112993,Tariq Lamptey,GHA,Brighton,ENG,English Premier Division,M (R),26,$57M - $68M,0.03,-0.85,15.00,3.00,0.09,0.20,0.00,0.03,0.00,0.09,0.24,1.09,9.38,8.5mi,0.10,2.18,13.91,0.57,2.59,0.16,0.20,12.01,10.52,3.32,0.77,0.22,0.00,0.00,0.89,0.00,0.00,7.69,1.00,0.00,0.00,Wnt,0 0 0
83228369,Alexandre Penetra,POR,Aston Villa,,English Premier Division,D (C),25,$57M - $67M,0.01,0.56,2.00,1.00,0.07,0.03,0.17,0.01,0.03,0.02,0.11,0.14,4.00,7.0mi,0.11,0.08,5.56,0.44,2.11,0.36,0.44,9.37,4.00,1.31,0.73,0.54,0.00,0.00,0.95,0.00,0.00,4.61,3.00,0.00,0.00,,0 0 0
91207274,Amadou Onana,BEL,Everton,SEN,English Premier Division,DM,25,$56M - $82M,0.09,-0.35,8.00,1.00,0.07,0.22,0.06,0.09,0.07,0.11,0.33,0.96,10.28,8.4mi,0.29,1.36,9.58,0.48,2.14,0.48,0.26,11.35,7.15,2.65,0.76,0.60,0.00,0.00,0.89,0.00,0.00,5.05,1.00,0.00,0.00,Wnt,0 0 0
29175064,Ethan Ampadu,WAL,Everton,ENG,English Premier Division,DM,26,$56M - $79M,0.04,-1.35,0.00,1.00,0.07,0.03,0.00,0.04,0.00,0.01,0.09,0.14,3.45,7.2mi,0.25,0.12,4.64,0.55,2.02,0.55,0.40,10.42,4.43,1.47,0.73,0.69,0.00,0.00,0.91,0.00,0.00,3.37,5.00,0.00,0.00,,0 0 0
19338230,Antony,BRA,Man UFC,,English Premier Division,AM (R),27,$55M - $81M,0.17,1.05,29.00,7.00,0.10,0.61,0.13,0.17,0.22,0.16,0.48,1.79,13.04,8.5mi,0.12,2.88,20.41,0.52,1.57,0.09,0.00,7.11,14.78,3.40,0.85,0.23,0.00,0.00,0.81,0.00,0.00,3.88,1.00,0.00,0.00,Wnt,0 0 0
2000062512,Arnau Martínez,ESP,Girona,,Spanish First Division,D (R),23,$55M - $80M,0.03,-0.88,41.00,0.00,0.09,0.14,0.00,0.03,0.00,0.03,0.14,0.38,8.16,7.5mi,0.13,1.25,13.65,0.76,2.50,0.31,0.07,13.85,11.01,2.40,0.83,0.69,0.00,0.00,0.90,0.00,0.00,7.71,0.00,0.00,0.00,,0 0 0
2000028320,Alberto Moleiro,ESP,Las Palmas,CUB,Spanish First Division,AM (L),23,$54M - $81M,0.17,-1.18,39.00,18.00,0.10,0.48,0.07,0.17,0.12,0.15,0.20,1.64,12.67,7.6mi,0.17,2.92,14.43,0.08,1.52,0.04,0.00,4.64,12.23,2.32,0.82,0.27,0.00,0.00,0.84,0.00,0.00,3.04,0.00,0.00,0.00,,0 0 0
28109888,Angel Gomes,ENG,LOSC,POR,Ligue 1 Uber Eats,AM (L),26,$54M - $80M,0.20,5.13,44.00,11.00,0.10,0.65,0.19,0.20,0.38,0.28,0.48,1.58,13.47,7.9mi,0.20,2.71,15.49,0.31,1.92,0.03,0.00,6.22,15.66,2.68,0.80,0.28,0.00,0.00,0.85,0.00,0.00,3.44,0.00,0.00,0.00,,0 0 0
16253898,Patrick Wimmer,AUT,VfL Wolfsburg,,Bundesliga,AM (R),25,$54M - $79M,0.22,-0.63,15.00,1.00,0.13,0.41,0.10,0.22,0.17,0.17,0.08,1.40,13.05,7.5mi,0.17,3.63,16.10,0.25,1.90,0.08,0.08,6.85,17.92,2.72,0.75,0.33,0.00,0.00,0.82,0.00,0.00,2.97,0.00,0.00,0.00,,0 0 0
24065108,Martin Baturina,CRO,Fiorentina,,Italian Serie A,M (C),24,$54M - $76M,0.12,4.40,31.00,2.00,0.14,1.12,0.32,0.12,0.26,0.22,0.46,2.53,10.93,7.8mi,0.13,1.77,11.62,0.30,1.71,0.00,0.07,14.61,9.69,1.90,0.84,0.36,0.00,0.00,0.87,0.00,0.00,3.81,0.00,0.00,0.00,Wnt,0 0 0
37065567,Crysencio Summerville,NED,Leeds,SUR,Sky Bet Championship,AM (R),25,$54M - $66M,0.27,-3.69,62.00,14.00,0.10,0.43,0.06,0.27,0.15,0.13,0.31,1.29,12.59,8.0mi,0.06,4.25,13.57,0.34,1.75,0.00,0.00,4.28,16.13,2.12,0.91,0.22,0.00,0.00,0.84,0.00,0.00,2.77,0.00,0.00,0.00,Wnt,0 0 0
91188349,Noah Atubolu,GER,SC Freiburg,NGA,Bundesliga,GK,24,$54M - $64M,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.9mi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,5.82,0.00,0.00,0.00,0.88,0.00,0.85,0.70,0.27,0.00,0.00,0.19,1.14,Wnt,0 0 0
19354619,Marcos Paulo,POR,AZ,BRA,Eredivisie,AM (L),26,$54M,0.27,-0.83,41.00,6.00,0.11,0.41,0.10,0.21,0.24,0.19,0.48,1.50,11.65,7.4mi,0.16,2.94,13.42,0.31,2.12,0.03,0.03,6.11,16.29,2.77,0.86,0.47,0.00,0.00,0.86,0.00,0.00,2.49,0.00,0.00,0.00,Req,0 0 0
84153276,Dan Ndoye,SUI,Bologna,SEN,Italian Serie A,AM (R),26,$53M - $78M,0.20,-2.83,57.00,16.00,0.10,0.27,0.06,0.20,0.12,0.13,0.24,1.35,12.69,8.1mi,0.09,2.99,15.99,0.33,1.83,0.06,0.03,4.97,15.96,2.22,0.71,0.31,0.00,0.00,0.83,0.00,0.00,2.43,0.00,0.00,0.00,Wnt,0 0 0
37076092,Noni Madueke,ENG,Wolves,NGA,English Premier Division,AM (R),25,$53M - $78M,0.22,-0.62,17.00,6.00,0.13,0.92,0.11,0.22,0.18,0.26,0.49,2.09,12.48,8.6mi,0.23,3.32,15.98,0.18,1.54,0.12,0.00,7.75,15.18,2.89,0.82,0.48,0.00,0.00,0.84,0.00,0.00,4.12,0.00,0.00,0.00,Inj,0 0 0
28115831,James Garner,ENG,Everton,,English Premier Division,M (C),26,$53M - $65M,0.08,-1.87,8.00,2.00,0.05,0.59,0.00,0.08,0.00,0.18,0.46,1.84,14.76,8.6mi,0.38,0.92,14.76,0.59,2.51,0.42,0.08,10.12,9.61,2.47,0.67,0.46,0.00,0.00,0.87,0.00,0.00,4.81,0.00,0.00,0.00,Wnt,0 0 0
93069729,Jens Cajuste,SWE,Parthenope,USA,Italian Serie A,DM,27,$53M - $63M,0.06,-0.89,21.00,4.00,0.12,0.17,0.06,0.06,0.03,0.18,0.44,0.99,10.37,8.0mi,0.17,0.82,11.63,0.27,1.81,0.21,0.03,12.83,10.44,2.53,0.80,0.52,0.00,0.00,0.87,0.00,0.00,4.35,0.00,0.00,0.00,Wnt,0 0 0
53160749,Igoh Ogbu,NGA,Southampton,,English Premier Division,D (C),27,$53M - $63M,0.05,0.26,10.00,0.00,0.08,0.05,0.09,0.05,0.05,0.05,0.14,0.27,4.13,7.2mi,0.22,0.63,6.27,0.60,2.00,0.90,0.38,10.19,5.80,1.40,0.84,0.69,0.00,0.00,0.93,0.00,0.00,3.75,3.00,0.00,0.00,,0 0 0
2000024665,Luca D'Andrea,ITA,Sassuolo,,Italian Serie A,M (R),22,$53M - $63M,0.22,-0.22,42.00,17.00,0.10,0.31,0.09,0.22,0.22,0.16,0.15,1.75,11.91,8.0mi,0.15,2.43,13.67,0.06,1.11,0.06,0.03,7.57,15.76,1.94,0.79,0.21,0.00,0.00,0.84,0.00,0.00,2.92,0.00,0.00,0.00,,0 0 0
13193983,Mohamed Camara,MLI,AS Monaco,,Ligue 1 Uber Eats,M (C),27,$52M - $64M,0.02,-0.29,9.00,1.00,0.07,0.06,0.00,0.02,0.00,0.20,0.19,0.96,9.72,8.4mi,0.25,0.90,12.09,0.45,1.47,0.06,0.13,11.64,7.29,2.24,0.73,0.51,0.00,0.00,0.90,0.00,0.00,5.05,0.00,0.00,0.00,,0 0 0
48044735,Amine Gouiri,ALG,Rennes,FRA,Ligue 1 Uber Eats,AM (L),27,$52M - $63M,0.47,-1.96,77.00,33.00,0.12,0.15,0.10,0.47,0.41,0.13,0.29,1.11,7.44,7.5mi,0.29,1.35,6.97,0.12,1.00,0.06,0.00,2.17,17.75,1.23,0.81,0.33,0.00,0.00,0.86,0.00,0.00,0.82,0.00,0.00,0.00,,0 0 0
